artist_name,quantidade
Memphis Depay,7
DJ Blakes,3
Luan Santana,3
Henrique & Juliano,3
Dj GBR,2
Hugo & Guilherme,2
Fiduma & Jeca,2
DJ LKS 067,2
DJ Arana,1
Cristiano Araújo,1
DJ Pablo PS,1
DJ Kauan NK,1
DJ Holanda,1
DJ Gzzin 011,1
DJ Piu,1
Dj Brunin XM,1
DJ Ery,1
DJ Bokinha,1
JC NO BEAT,1
Guilherme & Benuto,1
Kyllow,1
Kyan,1
MC ARCANJO,1
MC Guto VGS,1
MC Hariel,1
Léo & Raphael,1
MC Rafa 22,1
Mari Fernandez,1
Matuê,1
Mc Gw,1
THEUZ ZL,1
Veigh,1
WIU,1
Zé Neto & Cristiano,1
