track_id,track_name,artist_id,artist_name,all_artists,genres,popularity,played_at,date,hour,duration_min,weekday
1mhgqpCAnVZarcA65K6L0h,PUTO (feat. Alee),3MrDVzg7ZXaYMyQmbDInr7,WIU,"WIU, Alee","brazilian trap, trap, trap funk, brazilian hip hop",66,2025-05-13 14:48:53.511000-03:00,2025-05-13,14,3.1,Tuesday
1k1egPmIPWQ0J44PWgMDwA,Nois é Nois,4YqwRbMLqGHRHLS1w2ZKse,Veigh,"Veigh, Supernova Ent","brazilian trap, trap, trap funk, brazilian hip hop",65,2025-05-13 14:45:46.996000-03:00,2025-05-13,14,2.0,Tuesday
4MF0VMffyxHsy3GZwwUnAs,A Morte do Autotune,5nP8x4uEFjAAmDzwOEc9b8,Matuê,Matuê,"brazilian trap, trap, brazilian hip hop, trap funk",77,2025-05-13 14:43:46.496000-03:00,2025-05-13,14,3.6118333333333332,Tuesday
4sagI7oqfOhAYP1JZXwKsw,Nada Nada - Ao Vivo,3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,Henrique & Juliano,"sertanejo, sertanejo universitário, arrocha, agronejo",62,2025-05-13 14:39:54.606000-03:00,2025-05-13,14,2.612016666666667,Tuesday
5jeMxXhDNF6r5xq7O7GJXD,BÊBADOS - Ao Vivo,3qvcCP2J0fWi0m0uQDUf6r,Luan Santana,Luan Santana,"sertanejo, sertanejo universitário, arrocha",30,2025-05-13 14:38:42.110000-03:00,2025-05-13,14,2.8838166666666667,Tuesday
6HTmn2dm2OKBPNtgMyb986,Pot-Pourri: Te Amar Foi Ilusão / Passou da Conta / O Grande Amor da Minha Vida (Convite de Casamento) / Agora Vai - Ao Vivo,1LIuN7ov1IBQDdLsU83ojl,Hugo & Guilherme,"Hugo & Guilherme, Marília Mendonça, Dilsinho, Juliano","sertanejo, sertanejo universitário, agronejo, arrocha",59,2025-05-13 14:28:32.483000-03:00,2025-05-13,14,7.3361,Tuesday
43tDjfz9Inw7Soy0jzxowN,Status Que Eu Não Queria - Ao Vivo,487N2T9nIPEHrlTZLL3SQs,Zé Neto & Cristiano,Zé Neto & Cristiano,"sertanejo, sertanejo universitário, arrocha, agronejo",68,2025-05-13 14:21:11.755000-03:00,2025-05-13,14,2.5655666666666668,Tuesday
3SqWacOn7rUJoST33i0x1g,Perdeu o Cara Errado - Ao Vivo,4HF14RSTZQcEafvfPCFEpI,Cristiano Araújo,Cristiano Araújo,"sertanejo, sertanejo universitário, arrocha",53,2025-05-13 14:18:37.380000-03:00,2025-05-13,14,3.018666666666667,Tuesday
6cZqw8wIrMsFxCNMzLRbNU,Metade De Mim - Ao Vivo,1LIuN7ov1IBQDdLsU83ojl,Hugo & Guilherme,Hugo & Guilherme,"sertanejo, sertanejo universitário, agronejo, arrocha",56,2025-05-13 14:14:10.658000-03:00,2025-05-13,14,2.6806,Tuesday
0bor3AJ8QV6RRbyV64ZsOO,Cortando as BR (F&J 10 Anos) - Ao Vivo,2h73KyGixa4A1xlhcxjpG1,Fiduma & Jeca,"Fiduma & Jeca, Fernando & Sorocaba","sertanejo, agronejo, sertanejo universitário",69,2025-05-13 14:11:29.279000-03:00,2025-05-13,14,2.9223,Tuesday
7prVX5wQL8Iy36Wow8U0S9,Pra Sempre - Ao Vivo,2h73KyGixa4A1xlhcxjpG1,Fiduma & Jeca,Fiduma & Jeca,"sertanejo, agronejo, sertanejo universitário",56,2025-05-13 14:08:33.149000-03:00,2025-05-13,14,3.17155,Tuesday
0rNlhMa9bPNHVW0zx0T8iL,Só de Imaginar - Ao Vivo,0BHm7qbh3ENxvXzkQAG7MP,Mari Fernandez,"Mari Fernandez, Zé Vaqueiro","piseiro, sertanejo, forró, arrocha, agronejo, sertanejo universitário",38,2025-05-13 14:05:22.620000-03:00,2025-05-13,14,3.3707166666666666,Tuesday
0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,3qvcCP2J0fWi0m0uQDUf6r,Luan Santana,Luan Santana,"sertanejo, sertanejo universitário, arrocha",59,2025-05-13 14:01:59.859000-03:00,2025-05-13,14,2.4758,Tuesday
42Zl1YtSgEXHHAt3Pp05UX,Sem Rede - Ao Vivo,3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,Henrique & Juliano,"sertanejo, sertanejo universitário, arrocha, agronejo",60,2025-05-13 13:59:30.780000-03:00,2025-05-13,13,3.3787333333333334,Tuesday
42Zl1YtSgEXHHAt3Pp05UX,Sem Rede - Ao Vivo,3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,Henrique & Juliano,"sertanejo, sertanejo universitário, arrocha, agronejo",60,2025-05-13 13:54:12.474000-03:00,2025-05-13,13,3.3787333333333334,Tuesday
4IX43MpJlpxzRMLb9QayrJ,PERIGO NOTURNO - Ao Vivo,3qvcCP2J0fWi0m0uQDUf6r,Luan Santana,Luan Santana,"sertanejo, sertanejo universitário, arrocha",48,2025-05-13 13:48:59.179000-03:00,2025-05-13,13,3.3649333333333336,Tuesday
0redQHBfejmPUhonR5ppGC,Duas Três,6m6e7D2TnV0aYMllFFwMxu,Guilherme & Benuto,"Guilherme & Benuto, Ana Castela, Adriano Rhod","sertanejo, sertanejo universitário, agronejo, piseiro, arrocha",68,2025-05-13 13:45:36.767000-03:00,2025-05-13,13,2.6157,Tuesday
1OGaYYFnQXFvyo7dcJzI3i,Tipo Yellowstone,68cvVh3HBHdwWfccCTaq0T,Léo & Raphael,"Léo & Raphael, Luan Pereira, AgroPlay","agronejo, sertanejo, sertanejo universitário, piseiro",62,2025-05-13 13:42:59.297000-03:00,2025-05-13,13,2.2739333333333334,Tuesday
